,date,price
756,2018-01-18,10817.0
757,2018-01-19,10894.7
758,2018-01-22,10966.2
759,2018-01-23,11083.7
760,2018-01-24,11086.0
761,2018-01-25,11069.65
762,2018-01-29,11130.4
763,2018-01-30,11049.65
764,2018-01-31,11027.7
765,2018-02-01,11016.9
766,2018-02-02,10760.6
767,2018-02-05,10666.55
768,2018-02-06,10498.25
769,2018-02-07,10476.7
770,2018-02-08,10576.85
771,2018-02-09,10454.95
772,2018-02-12,10539.75
773,2018-02-14,10500.9
774,2018-02-15,10545.5
775,2018-02-16,10452.3
776,2018-02-19,10378.4
777,2018-02-20,10360.4
778,2018-02-21,10397.45
779,2018-02-22,10382.7
780,2018-02-23,10491.05
781,2018-02-26,10582.6
782,2018-02-27,10554.3
783,2018-02-28,10492.85
784,2018-03-01,10458.35
785,2018-03-05,10358.85
786,2018-03-06,10249.25
787,2018-03-07,10154.2
788,2018-03-08,10242.65
789,2018-03-09,10226.85
790,2018-03-12,10421.4
791,2018-03-13,10426.85
792,2018-03-14,10410.9
793,2018-03-15,10360.15
794,2018-03-16,10195.15
795,2018-03-19,10094.25
796,2018-03-20,10124.35
797,2018-03-21,10155.25
798,2018-03-22,10114.75
799,2018-03-23,9998.05
800,2018-03-26,10130.65
801,2018-03-27,10184.15
802,2018-03-28,10113.7
803,2018-04-02,10211.8
804,2018-04-03,10245.0
805,2018-04-04,10128.4
806,2018-04-05,10325.15
807,2018-04-06,10331.6
808,2018-04-09,10379.35
809,2018-04-10,10402.25
810,2018-04-11,10417.15
811,2018-04-12,10458.65
812,2018-04-13,10480.6
813,2018-04-16,10528.35
814,2018-04-17,10548.7
815,2018-04-18,10526.2
816,2018-04-19,10565.3
817,2018-04-20,10564.05
818,2018-04-23,10584.7
819,2018-04-24,10614.35
820,2018-04-25,10570.55
821,2018-04-26,10617.8
822,2018-04-27,10692.3
823,2018-04-30,10739.35
824,2018-05-02,10718.05
825,2018-05-03,10679.65
826,2018-05-04,10618.25
827,2018-05-07,10715.5
828,2018-05-08,10717.8
829,2018-05-09,10741.7
830,2018-05-10,10716.55
831,2018-05-11,10806.5
832,2018-05-14,10806.6
833,2018-05-15,10801.85
834,2018-05-16,10741.1
835,2018-05-17,10682.7
836,2018-05-18,10596.4
837,2018-05-21,10516.7
838,2018-05-22,10536.7
839,2018-05-23,10430.35
840,2018-05-24,10513.85
841,2018-05-25,10605.15
842,2018-05-28,10688.65
843,2018-05-29,10633.3
844,2018-05-30,10614.35
845,2018-05-31,10736.15
846,2018-06-01,10696.2
847,2018-06-04,10628.5
848,2018-06-05,10593.15
849,2018-06-06,10684.65
850,2018-06-07,10768.35
851,2018-06-08,10767.65
852,2018-06-11,10786.95
853,2018-06-12,10842.85
854,2018-06-13,10856.7
855,2018-06-14,10808.05
856,2018-06-15,10817.7
857,2018-06-18,10799.85
858,2018-06-19,10710.45
859,2018-06-20,10772.05
860,2018-06-21,10741.1
861,2018-06-22,10821.85
862,2018-06-25,10762.45
863,2018-06-26,10769.15
864,2018-06-27,10671.4
865,2018-06-28,10589.1
866,2018-06-29,10714.3
867,2018-07-02,10657.3
868,2018-07-03,10699.9
869,2018-07-04,10769.9
870,2018-07-05,10749.75
871,2018-07-06,10772.65
872,2018-07-09,10852.9
873,2018-07-10,10947.25
874,2018-07-11,10948.3
875,2018-07-12,11023.2
876,2018-07-13,11018.9
877,2018-07-16,10936.85
878,2018-07-17,11008.05
879,2018-07-18,10980.45
880,2018-07-19,10957.1
881,2018-07-20,11010.2
882,2018-07-23,11084.75
883,2018-07-24,11134.3
884,2018-07-25,11132.0
885,2018-07-26,11167.3
886,2018-07-27,11278.35
887,2018-07-30,11319.55
888,2018-07-31,11356.5
889,2018-08-01,11346.2
890,2018-08-02,11244.7
891,2018-08-03,11360.8
892,2018-08-06,11387.1
893,2018-08-07,11389.45
894,2018-08-08,11450.0
895,2018-08-09,11470.7
896,2018-08-10,11429.5
897,2018-08-13,11355.75
898,2018-08-14,11435.1
899,2018-08-16,11385.05
900,2018-08-17,11470.75
901,2018-08-20,11551.75
902,2018-08-21,11570.9
903,2018-08-23,11582.75
904,2018-08-24,11557.1
905,2018-08-27,11691.95
906,2018-08-28,11738.5
907,2018-08-29,11691.9
908,2018-08-30,11676.8
909,2018-08-31,11680.5
910,2018-09-03,11582.35
911,2018-09-04,11520.3
912,2018-09-05,11476.95
913,2018-09-06,11536.9
914,2018-09-07,11589.1
915,2018-09-10,11438.1
916,2018-09-11,11287.5
917,2018-09-12,11369.9
918,2018-09-14,11515.2
919,2018-09-17,11377.75
920,2018-09-18,11278.9
921,2018-09-19,11234.35
922,2018-09-21,11143.1
923,2018-09-24,10967.4
924,2018-09-25,11067.45
925,2018-09-26,11053.8
926,2018-09-27,10977.55
927,2018-09-28,10930.45
928,2018-10-01,11008.3
929,2018-10-03,10858.25
930,2018-10-04,10599.25
931,2018-10-05,10316.45
932,2018-10-08,10348.05
933,2018-10-09,10301.05
934,2018-10-10,10460.1
935,2018-10-11,10234.65
936,2018-10-12,10472.5
937,2018-10-15,10512.5
938,2018-10-16,10584.75
939,2018-10-17,10453.05
940,2018-10-19,10303.55
941,2018-10-22,10245.25
942,2018-10-23,10146.8
943,2018-10-24,10224.75
944,2018-10-25,10124.9
945,2018-10-26,10030.0
